FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,Quebec,Canada,2020-04-03 22:52:30,52.9399,-73.5491,6101,61,0,0,"Quebec, Canada"
,,Queensland,Australia,2020-04-03 22:52:45,-27.4698,153.0251,873,4,8,861,"Queensland, Australia"
,,Recovered,Canada,2020-04-03 22:52:30,,,0,0,2175,0,"Recovered, Canada"
,,Reunion,France,2020-04-03 22:46:20,-21.1151,55.5364,321,0,40,281,"Reunion, France"
,,Saint Barthelemy,France,2020-04-03 22:46:20,17.9,-62.8333,6,0,1,5,"Saint Barthelemy, France"
,,Saskatchewan,Canada,2020-04-03 22:52:30,52.9399,-106.4509,220,3,0,0,"Saskatchewan, Canada"
,,Shaanxi,China,2020-04-03 5:47:58,35.1917,108.8701,255,3,244,8,"Shaanxi, China"
,,Shandong,China,2020-04-03 0:46:33,36.3427,118.1498,778,7,754,17,"Shandong, China"
,,Shanghai,China,2020-04-03 6:56:51,31.202,121.4491,526,6,348,172,"Shanghai, China"
,,Shanxi,China,2020-03-31 23:35:56,37.5777,112.2922,137,0,133,4,"Shanxi, China"
,,Sichuan,China,2020-04-03 4:49:20,30.6171,102.7103,555,3,537,15,"Sichuan, China"
,,Sint Maarten,Netherlands,2020-04-03 22:46:20,18.0425,-63.0548,23,2,6,15,"Sint Maarten, Netherlands"
,,South Australia,Australia,2020-04-03 22:52:45,-34.9285,138.6007,396,0,46,350,"South Australia, Australia"
,,St Martin,France,2020-04-03 22:46:20,18.0708,-63.0501,22,1,2,19,"St Martin, France"
,,Tasmania,Australia,2020-04-03 22:52:45,-42.8821,147.3272,74,2,5,67,"Tasmania, Australia"
,,Tianjin,China,2020-04-03 9:22:33,39.3054,117.323,180,3,140,37,"Tianjin, China"
,,Tibet,China,2020-02-23 11:19:02,31.6927,88.0924,1,0,1,0,"Tibet, China"
,,Turks and Caicos Islands,United Kingdom,2020-04-03 22:46:20,21.694,-71.7979,5,0,0,5,"Turks and Caicos Islands, United Kingdom"
,,Victoria,Australia,2020-04-03 22:52:45,-37.8136,144.9631,1085,7,476,602,"Victoria, Australia"
,,Western Australia,Australia,2020-04-03 22:52:45,-31.9505,115.8605,400,2,92,306,"Western Australia, Australia"
,,Xinjiang,China,2020-03-08 5:31:02,41.1129,85.2401,76,3,73,0,"Xinjiang, China"
,,Yukon,Canada,2020-04-03 22:52:30,64.2823,-135,6,0,0,0,",Yukon,Canada"
,,Yunnan,China,2020-04-02 23:33:43,24.974,101.487,184,2,172,10,"Yunnan, China"
,,Zhejiang,China,2020-04-03 3:12:20,29.1832,120.0934,1260,1,1228,31,"Zhejiang, China"
,,,Afghanistan,2020-04-03 22:46:20,33.93911,67.709953,281,6,10,265,Afghanistan
,,,Albania,2020-04-03 22:46:20,41.1533,20.1683,304,17,89,198,Albania
,,,Algeria,2020-04-03 22:46:20,28.0339,1.6596,1171,105,62,1004,Algeria
,,,Andorra,2020-04-03 22:46:20,42.5063,1.5218,439,16,16,407,Andorra
,,,Angola,2020-04-03 22:46:20,-11.2027,17.8739,8,2,1,5,Angola
,,,Antigua and Barbuda,2020-04-03 22:46:20,17.0608,-61.7964,15,0,0,15,Antigua and Barbuda
,,,Argentina,2020-04-03 22:46:20,-38.4161,-63.6167,1265,39,266,960,Argentina
,,,Armenia,2020-04-03 22:46:20,40.0691,45.0382,736,7,43,686,Armenia
