FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,Wyoming,United States,2020-04-03 22:46:20,-19.015438,29.154857,162,0,0,0,United States
,,Michigan,United States,2020-04-03 22:46:20,-19.015438,29.154857,12744,479,0,0,United States
,,Maryland,United States,2020-04-03 22:46:20,-19.015438,29.154857,2758,43,0,0,United States
,,Kentucky,United States,2020-04-03 22:46:20,-19.015438,29.154857,770,34,0,0,United States
,,Ohio,United States,2020-04-03 22:46:20,-19.015438,29.154857,3312,91,0,0,United States
,,Alaska,United States,2020-04-03 22:46:20,-19.015438,29.154857,157,3,0,0,United States
,,Tennessee,United States,2020-04-03 22:46:20,-19.015438,29.154857,3067,41,0,0,United States
,,Texas,United States,2020-04-03 22:46:20,-19.015438,29.154857,5734,100,0,0,United States
,,Maine,United States,2020-04-03 22:46:20,-19.015438,29.154857,432,9,0,0,United States
,,Minnesota,United States,2020-04-03 22:46:20,-19.015438,29.154857,788,22,0,0,United States
,,Arizona,United States,2020-04-03 22:46:20,-19.015438,29.154857,1937,41,0,0,United States
,,Georgia,United States,2020-04-03 22:46:20,-19.015438,29.154857,5831,184,0,0,United States
,,Arkansas,United States,2020-04-03 22:46:20,-19.015438,29.154857,704,12,0,0,United States
,,Kansas,United States,2020-04-03 22:46:20,-19.015438,29.154857,629,18,0,0,United States
,,New Jersey,United States,2020-04-03 22:46:20,-19.015438,29.154857,29895,646,0,0,United States
,,South Dakota,United States,2020-04-03 22:46:20,-19.015438,29.154857,187,2,0,0,United States
,,Alabama,United States,2020-04-03 22:46:20,-19.015438,29.154857,1495,38,0,0,United States
,,West Virginia,United States,2020-04-03 22:46:20,-19.015438,29.154857,237,2,0,0,United States
,,North Dakota,United States,2020-04-03 22:46:20,-19.015438,29.154857,173,3,0,0,United States
,,Massachusetts,United States,2020-04-03 22:46:20,-19.015438,29.154857,10402,192,0,0,United States
,,New Hampshire,United States,2020-04-03 22:46:20,-19.015438,29.154857,479,5,0,0,United States
,,Oregon,United States,2020-04-03 22:46:20,-19.015438,29.154857,899,22,0,0,United States
,,New Mexico,United States,2020-04-03 22:46:20,-19.015438,29.154857,534,10,0,0,United States
,,Utah,United States,2020-04-03 22:46:20,-19.015438,29.154857,1255,7,0,0,United States
,,Rhode Island,United States,2020-04-03 22:46:20,-19.015438,29.154857,711,14,0,0,United States
,,Montana,United States,2020-04-03 22:46:20,-19.015438,29.154857,243,5,0,0,United States
,,Nevada,United States,2020-04-03 22:46:20,-19.015438,29.154857,1514,43,0,0,United States
,,District of Columbia,United States,2020-04-03 22:46:20,-19.015438,29.154857,757,15,0,0,United States
,,Connecticut,United States,2020-04-03 22:46:20,-19.015438,29.154857,4914,131,0,0,United States
,,Hawaii,United States,2020-04-03 22:46:20,-19.015438,29.154857,319,3,0,0,United States
,,Delaware,United States,2020-04-03 22:46:20,-19.015438,29.154857,450,14,0,0,United States
,,Northern Mariana Islands,United States,2020-04-03 22:46:20,-19.015438,29.154857,8,1,0,0,United States
,,Diamond Princess,United States,2020-04-03 22:46:20,-19.015438,29.154857,49,0,0,0,United States
,,Grand Princess,United States,2020-04-03 22:46:20,-19.015438,29.154857,103,3,0,0,United States
,,Guam,United States,2020-04-03 22:46:20,-19.015438,29.154857,84,4,0,0,United States
,,Puerto Rico,United States,2020-04-03 22:46:20,-19.015438,29.154857,316,15,0,0,United States
,,Virgin Islands,United States,2020-04-03 22:46:20,-19.015438,29.154857,37,0,0,0,United States
